Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1691175802,10,,Aggregated,9.700000,0.000000,110,190,280,320,570,930,1100,1500,2300,2300,2300,204,0,110.0,243.36836155882327,30.91458100000022,2298.4423930000003,53345.794117647056
1691175803,10,,Aggregated,9.700000,0.000000,110,190,260,310,560,930,1100,1500,2300,2300,2300,214,0,110.0,236.80416764953247,30.91458100000022,2298.4423930000003,54122.14953271028
1691175804,10,,Aggregated,9.500000,0.000000,100,170,210,300,480,840,1100,1500,2300,2300,2300,229,0,100.0,225.89193662008708,30.668432999998885,2298.4423930000003,55278.24890829694
1691175805,10,,Aggregated,9.500000,0.000000,100,170,220,300,480,840,1100,1500,2300,2300,2300,235,0,100.0,225.29135897872314,30.668432999998885,2298.4423930000003,56288.27234042553
1691175807,10,,Aggregated,9.600000,0.000000,100,160,220,300,480,830,1100,1500,2300,2300,2300,243,0,100.0,223.3920781481479,30.668432999998885,2298.4423930000003,56008.102880658436
1691175808,10,,Aggregated,10.700000,0.000000,100,160,220,290,460,830,1000,1500,2300,2300,2300,258,0,100.0,218.71105140310047,30.668432999998885,2298.4423930000003,54771.135658914725
1691175809,10,,Aggregated,9.300000,0.000000,100,160,220,290,460,820,1000,1500,2300,2300,2300,264,0,100.0,216.24186885984818,30.668432999998885,2298.4423930000003,54064.17424242424
1691175810,10,,Aggregated,9.700000,0.000000,100,160,210,290,460,820,1000,1500,2300,2300,2300,277,0,100.0,212.07266682671457,30.668432999998885,2298.4423930000003,55056.27436823105
1691175811,10,,Aggregated,9.400000,0.000000,100,150,210,290,460,800,1000,1500,2300,2300,2300,290,0,100.0,208.11337877931007,30.668432999998885,2298.4423930000003,55332.558620689655
1691175812,10,,Aggregated,8.800000,0.000000,100,150,210,280,450,800,1000,1500,2300,2300,2300,300,0,100.0,204.28523335666637,30.668432999998885,2298.4423930000003,55435.29
1691175813,10,,Aggregated,9.100000,0.000000,100,140,200,260,450,760,1000,1200,2300,2300,2300,312,0,100.0,199.53249360256385,30.668432999998885,2298.4423930000003,55081.2467948718
