Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175805.7651432&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,112.33083400000154,112.33083400000154,112.33083400000154,112.33083400000154,77.0,0.0050082767057978,0.0,110,110,110,110,110,110,110,110,110,110,110
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175805.8709812&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,548.8370469999993,548.8370469999993,548.8370469999993,548.8370469999993,77.0,0.0050082767057978,0.0,550,550,550,550,550,550,550,550,550,550,550
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175807.244351&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,49.73664099999908,49.73664099999908,49.73664099999908,49.73664099999908,77.0,0.0050082767057978,0.0,50,50,50,50,50,50,50,50,50,50,50
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175807.583188&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,58.33068200000113,58.33068200000113,58.33068200000113,58.33068200000113,77.0,0.0050082767057978,0.0,58,58,58,58,58,58,58,58,58,58,58
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175809.32797&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,31.1142860000011,31.1142860000011,31.1142860000011,31.1142860000011,77.0,0.0050082767057978,0.0,31,31,31,31,31,31,31,31,31,31,31
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175809.861193&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,43.980405999999306,43.980405999999306,43.980405999999306,43.980405999999306,77.0,0.0050082767057978,0.0,44,44,44,44,44,44,44,44,44,44,44
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175811.796533&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,32.65801899999943,32.65801899999943,32.65801899999943,32.65801899999943,77.0,0.0050082767057978,0.0,33,33,33,33,33,33,33,33,33,33,33
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175812.2744331&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,80.86589900000263,80.86589900000263,80.86589900000263,80.86589900000263,77.0,0.0050082767057978,0.0,81,81,81,81,81,81,81,81,81,81,81
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175813.174478&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,34.63732600000213,34.63732600000213,34.63732600000213,34.63732600000213,77.0,0.0050082767057978,0.0,35,35,35,35,35,35,35,35,35,35,35
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175813.2856221&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,90.16609700000089,90.16609700000089,90.16609700000089,90.16609700000089,77.0,0.0050082767057978,0.0,90,90,90,90,90,90,90,90,90,90,90
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175813.3986912&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,79.49582199999838,79.49582199999838,79.49582199999838,79.49582199999838,77.0,0.0050082767057978,0.0,79,79,79,79,79,79,79,79,79,79,79
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175816.000173&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,37.62555400000167,37.62555400000167,37.62555400000167,37.62555400000167,77.0,0.0050082767057978,0.0,38,38,38,38,38,38,38,38,38,38,38
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175816.4041479&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,42.15237200000388,42.15237200000388,42.15237200000388,42.15237200000388,77.0,0.0050082767057978,0.0,42,42,42,42,42,42,42,42,42,42,42
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175817.1935549&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,94.39740799999896,94.39740799999896,94.39740799999896,94.39740799999896,77.0,0.0050082767057978,0.0,94,94,94,94,94,94,94,94,94,94,94
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175817.74794&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,41.54519499999765,41.54519499999765,41.54519499999765,41.54519499999765,77.0,0.0050082767057978,0.0,42,42,42,42,42,42,42,42,42,42,42
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175818.178932&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,113.91583500000024,113.91583500000024,113.91583500000024,113.91583500000024,77.0,0.0050082767057978,0.0,110,110,110,110,110,110,110,110,110,110,110
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175821.084757&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,39.25007700000549,39.25007700000549,39.25007700000549,39.25007700000549,77.0,0.0050082767057978,0.0,39,39,39,39,39,39,39,39,39,39,39
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175826.115881&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,59.53044700000021,59.53044700000021,59.53044700000021,59.53044700000021,77.0,0.0050082767057978,0.0,60,60,60,60,60,60,60,60,60,60,60
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175826.954761&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,43.756643000001816,43.756643000001816,43.756643000001816,43.756643000001816,77.0,0.0050082767057978,0.0,44,44,44,44,44,44,44,44,44,44,44
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175828.5263271&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,77.30854699999412,77.30854699999412,77.30854699999412,77.30854699999412,77.0,0.0050082767057978,0.0,77,77,77,77,77,77,77,77,77,77,77
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175829.7426739&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,123.61914800000307,123.61914800000307,123.61914800000307,123.61914800000307,77.0,0.0050082767057978,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175829.9380438&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,128.74984000000467,128.74984000000467,128.74984000000467,128.74984000000467,77.0,0.0050082767057978,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175831.483808&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,121.82214999999985,121.82214999999985,121.82214999999985,121.82214999999985,77.0,0.0050082767057978,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175832.38114&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,39.58403200000049,39.58403200000049,39.58403200000049,39.58403200000049,77.0,0.0050082767057978,0.0,40,40,40,40,40,40,40,40,40,40,40
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175833.220941&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,45.20213899999703,45.20213899999703,45.20213899999703,45.20213899999703,77.0,0.0050082767057978,0.0,45,45,45,45,45,45,45,45,45,45,45
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175834.519445&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,57.14314499999773,57.14314499999773,57.14314499999773,57.14314499999773,77.0,0.0050082767057978,0.0,57,57,57,57,57,57,57,57,57,57,57
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175835.399662&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,260.4005610000044,260.4005610000044,260.4005610000044,260.4005610000044,77.0,0.0050082767057978,0.0,260,260,260,260,260,260,260,260,260,260,260
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175837.903948&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,47.09069400000487,47.09069400000487,47.09069400000487,47.09069400000487,77.0,0.0050082767057978,0.0,47,47,47,47,47,47,47,47,47,47,47
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175837.96749&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,65.61349700000108,65.61349700000108,65.61349700000108,65.61349700000108,77.0,0.0050082767057978,0.0,66,66,66,66,66,66,66,66,66,66,66
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175838.2648041&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,97.57348699999824,97.57348699999824,97.57348699999824,97.57348699999824,77.0,0.0050082767057978,0.0,98,98,98,98,98,98,98,98,98,98,98
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175840.4164438&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,94.57860399999873,94.57860399999873,94.57860399999873,94.57860399999873,77.0,0.0050082767057978,0.0,95,95,95,95,95,95,95,95,95,95,95
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175841.758736&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,44.728030000001695,44.728030000001695,44.728030000001695,44.728030000001695,77.0,0.0050082767057978,0.0,45,45,45,45,45,45,45,45,45,45,45
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175842.649771&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,434.58595799999955,434.58595799999955,434.58595799999955,434.58595799999955,77.0,0.0050082767057978,0.0,430,430,430,430,430,430,430,430,430,430,430
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175843.0847769&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,88.52930300000139,88.52930300000139,88.52930300000139,88.52930300000139,77.0,0.0050082767057978,0.0,89,89,89,89,89,89,89,89,89,89,89
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175843.349796&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,34.639438999995775,34.639438999995775,34.639438999995775,34.639438999995775,77.0,0.0050082767057978,0.0,35,35,35,35,35,35,35,35,35,35,35
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175844.1320698&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,65.1768990000079,65.1768990000079,65.1768990000079,65.1768990000079,77.0,0.0050082767057978,0.0,65,65,65,65,65,65,65,65,65,65,65
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175845.2342222&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,378.9855689999939,378.9855689999939,378.9855689999939,378.9855689999939,77.0,0.0050082767057978,0.0,380,380,380,380,380,380,380,380,380,380,380
